symbol,date,open,high,low,close,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
AAPL,2016-05-04 00:00:00+00:00,95.2,95.9,93.82,94.19,41025475,88.03664122,89.63492826,87.69081303,88.98065871,41025475,0,1
AAPL,2016-05-05 00:00:00+00:00,94,94.07,92.68,93.24,35890500,87.68146632,88.46198559,87.15485091,88.39615867,35890500,0.57,1
AAPL,2016-05-06 00:00:00+00:00,93.37,93.45,91.85,92.72,43699886,87.19246629,87.8789471,86.37433163,87.80371633,43699886,0,1
AAPL,2016-05-09 00:00:00+00:00,93,93.77,92.59,92.79,32936436,87.25829322,88.17987019,87.07021629,87.455774,32936436,0,1
AAPL,2016-05-10 00:00:00+00:00,93.33,93.57,92.11,93.42,33686836,87.85073556,87.99179326,86.61883165,87.76610094,33686836,0,1
AAPL,2016-05-11 00:00:00+00:00,93.48,93.57,92.46,92.51,28719109,86.99498551,87.99179326,86.94796628,87.90715864,28719109,0,1
AAPL,2016-05-12 00:00:00+00:00,92.72,92.78,89.47,90.34,76314690,84.95435079,87.24888937,84.13621613,87.19246629,76314690,0,1
AAPL,2016-05-13 00:00:00+00:00,90,91.67,90,90.52,44392765,85.12362003,86.20506239,84.63462,84.63462,44392765,0,1
AAPL,2016-05-16 00:00:00+00:00,92.39,94.39,91.65,93.88,61259756,88.28331251,88.76290869,86.1862547,86.88213935,61259756,0,1
AAPL,2016-05-17 00:00:00+00:00,94.55,94.7,93.01,93.49,46916939,87.91656249,89.05442793,87.46517785,88.91337023,46916939,0,1
AAPL,2016-05-18 00:00:00+00:00,94.16,95.21,93.89,94.56,42062391,88.92277408,89.53402411,88.29271635,88.54662021,42062391,0,1
AAPL,2016-05-19 00:00:00+00:00,94.64,94.64,93.57,94.2,30442100,88.5842356,88.99800485,87.99179326,88.99800485,30442100,0,1
AAPL,2016-05-20 00:00:00+00:00,94.64,95.43,94.52,95.22,32025968,89.54342796,89.74090874,88.88515869,88.99800485,32025968,0,1
AAPL,2016-05-23 00:00:00+00:00,95.87,97.19,95.67,96.43,38018643,90.68129341,91.39598575,89.96660106,90.15467799,38018643,0,1
AAPL,2016-05-24 00:00:00+00:00,97.22,98.09,96.84,97.9,35140174,92.06365887,92.24233195,91.06685112,91.42419729,35140174,0,1
AAPL,2016-05-25 00:00:00+00:00,98.67,99.74,98.11,99.62,38642108,93.68112049,93.79396665,92.26113965,92.78775506,38642108,0,1
AAPL,2016-05-26 00:00:00+00:00,99.68,100.73,98.64,100.41,56331159,94.42402438,94.72494747,92.75954352,93.73754357,56331159,0,1
AAPL,2016-05-27 00:00:00+00:00,99.44,100.47,99.245,100.35,36341240,94.3676013,94.48044746,93.32847624,93.51185125,36341240,0,1
AAPL,2016-05-31 00:00:00+00:00,99.6,100.4,98.82,99.86,42307212,93.90681281,94.41462053,92.92881276,93.6623128,42307212,0,1
AAPL,2016-06-01 00:00:00+00:00,99.02,99.54,98.33,98.46,29173285,92.59027428,93.60588972,92.46802427,93.11688969,29173285,0,1
AAPL,2016-06-02 00:00:00+00:00,97.6,97.84,96.63,97.72,40191600,91.89438963,92.00723579,90.86937034,91.78154347,40191600,0,1
AAPL,2016-06-03 00:00:00+00:00,97.79,98.27,97.45,97.92,28504888,92.08246656,92.41160119,91.64048577,91.96021655,28504888,0,1
AAPL,2016-06-06 00:00:00+00:00,97.99,101.89,97.55,98.63,23292504,92.75013967,95.81579369,91.73452423,92.14829349,23292504,0,1
AAPL,2016-06-07 00:00:00+00:00,99.25,99.87,98.96,99.03,22409450,93.12629354,93.91621666,93.06046661,93.33317817,22409450,0,1
AAPL,2016-06-08 00:00:00+00:00,99.02,99.56,98.68,98.94,20848131,93.04165892,93.62469741,92.79715891,93.11688969,20848131,0,1
AAPL,2016-06-09 00:00:00+00:00,98.5,99.99,98.46,99.65,26601354,93.70933203,94.02906282,92.59027428,92.62788967,26601354,0,1
AAPL,2016-06-10 00:00:00+00:00,98.53,99.3457,98.48,98.83,31712936,92.93821661,93.42317298,92.60908197,92.65610121,31712936,0,1
AAPL,2016-06-13 00:00:00+00:00,98.69,99.12,97.1,97.34,38020494,91.53704345,93.21092816,91.31135113,92.80656275,38020494,0,1
AAPL,2016-06-14 00:00:00+00:00,97.32,98.475,96.75,97.46,31931944,91.64988961,92.60438005,90.9822165,91.51823576,31931944,0,1
AAPL,2016-06-15 00:00:00+00:00,97.82,98.41,97.03,97.14,29445227,91.34896652,92.54325505,91.24552421,91.98842809,29445227,0,1
AAPL,2016-06-16 00:00:00+00:00,96.45,97.75,96.07,97.55,31326815,91.73452423,91.92260117,90.34275493,90.7001011,31326815,0,1
AAPL,2016-06-17 00:00:00+00:00,96.62,96.65,95.3,95.33,61008219,89.64687027,90.88817803,89.61865873,90.85996649,61008219,0,1
AAPL,2016-06-20 00:00:00+00:00,96,96.57,95.03,95.1,34411901,89.4305818,90.81294726,89.36475487,90.276928,34411901,0,1
AAPL,2016-06-21 00:00:00+00:00,94.94,96.35,94.676,95.91,35546358,90.19229338,90.60606263,89.0318587,89.28012025,35546358,0,1
AAPL,2016-06-22 00:00:00+00:00,96.25,96.89,95.35,95.55,29219122,89.8537549,91.11387035,89.66567797,90.51202417,29219122,0,1
AAPL,2016-06-23 00:00:00+00:00,95.94,96.29,95.25,96.1,32240187,90.37096647,90.54963955,89.5716395,90.22050492,32240187,0,1
AAPL,2016-06-24 00:00:00+00:00,92.91,94.655,92.65,93.4,75311356,87.83192787,89.01211062,87.12663937,87.37113938,75311356,0,1
AAPL,2016-06-27 00:00:00+00:00,93,93.05,91.5,92.04,46622188,86.55300472,87.50279323,86.045197,87.455774,46622188,0,1
AAPL,2016-06-28 00:00:00+00:00,92.9,93.66,92.14,93.59,40444914,88.01060095,88.07642788,86.64704319,87.36173553,40444914,0,1
AAPL,2016-06-29 00:00:00+00:00,93.97,94.55,93.63,94.4,36531006,88.77231253,88.91337023,88.04821634,88.36794713,36531006,0,1
AAPL,2016-06-30 00:00:00+00:00,94.44,95.77,94.3,95.6,35836356,89.90077413,90.06063953,88.67827407,88.80992792,35836356,0,1
AAPL,2016-07-01 00:00:00+00:00,95.49,96.465,95.33,95.89,26026540,90.17348569,90.71420687,89.64687027,89.79733182,26026540,0,1
AAPL,2016-07-05 00:00:00+00:00,95.39,95.4,94.46,94.99,27705210,89.32713949,89.7126972,88.82873561,89.70329335,27705210,0,1
AAPL,2016-07-06 00:00:00+00:00,94.6,95.66,94.37,95.53,30949090,89.83494721,89.95719721,88.74410099,88.96038947,30949090,0,1
AAPL,2016-07-07 00:00:00+00:00,95.7,96.5,95.62,95.94,25139558,90.22050492,90.74712033,89.91958183,89.9948126,25139558,0,1
AAPL,2016-07-08 00:00:00+00:00,96.49,96.89,96.05,96.68,28912103,90.91638957,91.11387035,90.32394723,90.73771649,28912103,0,1
AAPL,2016-07-11 00:00:00+00:00,96.75,97.65,96.73,96.98,23794945,91.19850497,91.8285627,90.96340881,90.9822165,23794945,0,1
AAPL,2016-07-12 00:00:00+00:00,97.17,97.7,97.12,97.42,24167463,91.61227423,91.87558193,91.33015883,91.37717806,24167463,0,1
AAPL,2016-07-13 00:00:00+00:00,97.41,97.67,96.84,96.87,25892171,91.09506266,91.84737039,91.06685112,91.60287038,25892171,0,1
AAPL,2016-07-14 00:00:00+00:00,97.39,98.99,97.32,98.79,38918997,92.90060122,93.08867815,91.51823576,91.58406269,38918997,0,1
AAPL,2016-07-15 00:00:00+00:00,98.92,99.3,98.5,98.78,30136990,92.89119737,93.3801974,92.62788967,93.02285123,30136990,0,1
AAPL,2016-07-18 00:00:00+00:00,98.7,100.13,98.6,99.83,36493867,93.87860127,94.16071667,92.72192813,92.8159666,36493867,0,1
AAPL,2016-07-19 00:00:00+00:00,99.56,100,99.34,99.87,23779924,93.91621666,94.03846667,93.41781279,93.62469741,23779924,0,1
AAPL,2016-07-20 00:00:00+00:00,100,100.46,99.735,99.96,26275968,94.00085128,94.47104361,93.78926473,94.03846667,26275968,0,1
AAPL,2016-07-21 00:00:00+00:00,99.83,101,99.13,99.43,32702028,93.50244741,94.97885133,93.22033201,93.87860127,32702028,0,1
AAPL,2016-07-22 00:00:00+00:00,99.26,99.3,98.31,98.66,28313669,92.77835121,93.3801974,92.44921658,93.34258201,28313669,0,1
AAPL,2016-07-25 00:00:00+00:00,98.25,98.84,96.92,97.34,40382921,91.53704345,92.94762045,91.14208189,92.3927935,40382921,0,1
AAPL,2016-07-26 00:00:00+00:00,96.82,97.97,96.42,96.67,56239822,90.90698573,92.12948579,90.67188956,91.04804343,56239822,0,1
AAPL,2016-07-27 00:00:00+00:00,104.265,104.35,102.75,102.95,92344820,96.81260143,98.12913997,96.6245245,98.04920727,92344820,0,1
AAPL,2016-07-28 00:00:00+00:00,102.83,104.45,102.82,104.34,39869839,98.11973612,98.22317843,96.69035143,96.69975527,39869839,0,1
AAPL,2016-07-29 00:00:00+00:00,104.19,104.55,103.68,104.21,27733688,97.99748611,98.3172169,97.49908224,97.97867842,27733688,0,1
AAPL,2016-08-01 00:00:00+00:00,104.41,106.15,104.41,106.05,38167871,99.7277939,99.82183237,98.18556305,98.18556305,38167871,0,1
AAPL,2016-08-02 00:00:00+00:00,106.05,106.07,104,104.48,33816556,98.25138997,99.74660159,97.80000533,99.7277939,33816556,0,1
AAPL,2016-08-03 00:00:00+00:00,104.81,105.84,104.77,105.79,30202641,99.48329389,99.53031312,98.52410153,98.56171691,30202641,0,1
AAPL,2016-08-04 00:00:00+00:00,105.58,106,105.28,105.87,27408650,100.0945439,100.2174521,99.5367298,99.8203641,27408650,0.57,1
AAPL,2016-08-05 00:00:00+00:00,106.27,107.65,106.18,107.48,40553402,101.6167147,101.7774408,100.3876327,100.472723,40553402,0,1
AAPL,2016-08-08 00:00:00+00:00,107.52,108.37,107.16,108.37,28037220,102.4581631,102.4581631,101.3141714,101.6545326,28037220,0,1
AAPL,2016-08-09 00:00:00+00:00,108.23,108.94,108.01,108.81,26315204,102.87416,102.9970682,102.1178019,102.3258004,26315204,0,1
AAPL,2016-08-10 00:00:00+00:00,108.71,108.9,107.76,108,24008505,102.1083474,102.9592503,101.88144,102.7796153,24008505,0,1
AAPL,2016-08-11 00:00:00+00:00,108.52,108.93,107.85,107.93,27484506,102.0421661,102.9876138,101.9665303,102.5999802,27484506,0,1
AAPL,2016-08-12 00:00:00+00:00,107.78,108.44,107.78,108.18,18660434,102.278528,102.5243444,101.900349,101.900349,18660434,0,1
AAPL,2016-08-15 00:00:00+00:00,108.14,109.54,108.08,109.48,25868209,103.50761,103.5643368,102.1839833,102.2407101,25868209,0,1
AAPL,2016-08-16 00:00:00+00:00,109.63,110.23,109.21,109.38,33794448,103.4130652,104.2166957,103.2523391,103.6494271,33794448,0,1
AAPL,2016-08-17 00:00:00+00:00,109.1,109.37,108.34,109.22,25355976,103.2617936,103.4036107,102.4297996,103.1483399,25355976,0,1
AAPL,2016-08-18 00:00:00+00:00,109.23,109.6,109.02,109.08,21984703,103.1294309,103.6210637,103.0727041,103.2712481,21984703,0,1
AAPL,2016-08-19 00:00:00+00:00,108.77,109.69,108.36,109.36,25368072,103.3941563,103.706154,102.4487086,102.8363421,25368072,0,1
AAPL,2016-08-22 00:00:00+00:00,108.86,109.1,107.85,108.51,25820230,102.5905257,103.1483399,101.9665303,102.9214324,25820230,0,1
AAPL,2016-08-23 00:00:00+00:00,108.59,109.32,108.53,108.85,21257669,102.911978,103.3563384,102.6094347,102.6661616,21257669,0,1
AAPL,2016-08-24 00:00:00+00:00,108.565,108.75,107.68,108.03,23675081,102.1367109,102.8174332,101.8058042,102.6425254,23675081,0,1
AAPL,2016-08-25 00:00:00+00:00,107.39,107.88,106.68,107.57,25086248,101.7018049,101.9948937,100.8603565,101.5316244,25086248,0,1
AAPL,2016-08-26 00:00:00+00:00,107.41,107.95,106.31,106.94,27766291,101.1061729,102.0610751,100.5105409,101.5505333,27766291,0,1
AAPL,2016-08-29 00:00:00+00:00,106.62,107.44,106.29,106.82,24970300,100.9927192,101.5788967,100.4916319,100.8036297,24970300,0,1
AAPL,2016-08-30 00:00:00+00:00,105.8,106.5,105.5,106,24863945,100.2174521,100.6901759,99.74472829,100.0283626,24863945,0,1
AAPL,2016-08-31 00:00:00+00:00,105.66,106.5699,105.64,106.1,29662406,100.3119969,100.7562627,99.87709096,99.89599991,29662406,0,1
AAPL,2016-09-01 00:00:00+00:00,106.14,106.8,105.62,106.73,26701523,100.9076289,100.9738102,99.85818201,100.3498148,26701523,0,1
AAPL,2016-09-02 00:00:00+00:00,107.7,108,106.82,107.73,26802450,101.8530766,102.1083474,100.9927192,101.8247131,26802450,0,1
AAPL,2016-09-06 00:00:00+00:00,107.9,108.3,107.51,107.7,26880391,101.8247131,102.3919817,101.6450781,102.0138027,26880391,0,1
AAPL,2016-09-07 00:00:00+00:00,107.83,108.76,107.07,108.36,42364328,102.4487086,102.8268877,101.2290811,101.9476213,42364328,0,1
AAPL,2016-09-08 00:00:00+00:00,107.25,107.27,105.24,105.52,53002026,99.76363724,101.4181706,99.49891189,101.3992617,53002026,0,1
